mode,outer_fold,window,family,calibration,effect,first,second,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,units,bootstrap_scope
R_SIM,3,pre,logistic,temperature,gain_mu_var,HMU,HMUVAR,0.0004523828560291553,-0.001033388948605609,0.002343907478563977,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,3,pre,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,0.000603739204082984,-0.0008777378176689527,0.00247549243430735,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,post,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,-0.001357080423993944,-0.0032591790064716965,0.0006271916130329231,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,post,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,-0.0010550777095210673,-0.0030123955120343344,0.0008737449513648362,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,post,logistic,raw,gain_mu_var,HMU,HMUVAR,-0.0004316530943076352,-0.0023350196250511274,0.0014298472077277989,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,post,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,-0.000209303023257412,-0.00240693465181447,0.001875961100891671,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,post,logistic,temperature,gain_mu_var,HMU,HMUVAR,-0.001357080423993944,-0.0032591790064716965,0.0006271916130329231,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,post,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,-0.0010550777095210673,-0.0030123955120343344,0.0008737449513648362,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,pre,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,0.0009940532643717508,-0.00028679158191006023,0.002489144637122349,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,pre,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,0.001062015609385243,-0.0002983589726131971,0.0026205098802013584,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,pre,logistic,raw,gain_mu_var,HMU,HMUVAR,0.0006984717041137271,-0.0004035975908360171,0.002003153424570942,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,pre,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,0.0008020393494588494,-0.00034494753852287377,0.0021672858561875004,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,pre,logistic,temperature,gain_mu_var,HMU,HMUVAR,0.0009940532643717508,-0.00028679158191006023,0.002489144637122349,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,4,pre,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,0.001062015609385243,-0.0002983589726131971,0.0026205098802013584,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,0,post_minus_pre,logistic,mixture_diagnostic,gain_mu_var_post_minus_pre,post_gain,pre_gain,-0.004614900998063393,-0.008010304752908246,-0.0016725146190650563,12,2000,bits_per_bag,shared_candidate_fixed_oof_no_refit
L0,0,post_minus_pre,logistic,raw,gain_mu_var_post_minus_pre,post_gain,pre_gain,-0.0026877048881269934,-0.005226119420468077,-0.0002632268299257588,12,2000,bits_per_bag,shared_candidate_fixed_oof_no_refit
L0,0,post_minus_pre,logistic,temperature,gain_mu_var_post_minus_pre,post_gain,pre_gain,-0.004614900998063393,-0.008010304752908246,-0.0016725146190650563,12,2000,bits_per_bag,shared_candidate_fixed_oof_no_refit
L0,1,post_minus_pre,logistic,mixture_diagnostic,gain_mu_var_post_minus_pre,post_gain,pre_gain,0.0003262871650394997,-0.001754045374244447,0.0026278219199597484,11,2000,bits_per_bag,shared_candidate_fixed_oof_no_refit
L0,1,post_minus_pre,logistic,raw,gain_mu_var_post_minus_pre,post_gain,pre_gain,0.0013100742581668887,3.3112672198436073e-06,0.0025368170739876066,11,2000,bits_per_bag,shared_candidate_fixed_oof_no_refit
L0,1,post_minus_pre,logistic,temperature,gain_mu_var_post_minus_pre,post_gain,pre_gain,0.0003262871650394997,-0.001754045374244447,0.0026278219199597484,11,2000,bits_per_bag,shared_candidate_fixed_oof_no_refit
L0,2,post_minus_pre,logistic,mixture_diagnostic,gain_mu_var_post_minus_pre,post_gain,pre_gain,-0.0025598966172449664,-0.008942879111437197,0.0022317103669340353,11,2000,bits_per_bag,shared_candidate_fixed_oof_no_refit
L0,2,post_minus_pre,logistic,raw,gain_mu_var_post_minus_pre,post_gain,pre_gain,-0.0029606344908227815,-0.009317314783495552,0.0008930998227299526,11,2000,bits_per_bag,shared_candidate_fixed_oof_no_refit
L0,2,post_minus_pre,logistic,temperature,gain_mu_var_post_minus_pre,post_gain,pre_gain,-0.0025598966172449664,-0.008942879111437197,0.0022317103669340353,11,2000,bits_per_bag,shared_candidate_fixed_oof_no_refit
